unique_id_match,toponymName,fclName,commune,province,region,country,MATCH,types_Anne,types_Ettore
8234-918859-rumst,Rumst,Commune,Rumst,Antwerpen,Flanders,Belgium,rumst,loc,loc
8628-941874-gill,,,,,,,gill,per_ambig,per_ambig
8734-948076-constant le boucher,,,,,,,constant le boucher,per,per
8811-949149-hever,Hever,Section,Boortmeerbeek,Flemish Brabant Province,Flanders,Belgium,hever,loc,loc
9008-958536-bartels,,,,,,,bartels,per,per
9267-966877-j. bertrand,,,,,,,j. bertrand,per,per
9314-967905-kripp hermann,,,,,,,kripp hermann,per,per
9324-968123-armand bivort,,,,,,,armand bivort,per,per
9475-971864-hasselt,Hasselt,Commune,Hasselt,Limburg Province,Flanders,Belgium,hasselt,loc,loc
9575-974284-victor polet,,,,,,,victor polet,per,per
9781-979513-angelica hauff,,,,,,,angelica hauff,per,per
9896-981701-brand,,,,,,,brand,per,per
9896-981701-halle,,,,,,,halle,loc,loc
9897-981701-brand,,,,,,,brand,per_loc,per_loc
9897-981701-halle,,,,,,,halle,loc,loc
9947-982840-meyer,,,,,,,meyer,per,per
9947-982840-huysmans,,,,,,,huysmans,per,per
10436-995215-voghelaere,,,,,,,voghelaere,per,per
10615-998199-jacques isaac,,,,,,,jacques isaac,per,per
10713-1001085-levaillant,,,,,,,levaillant,per,per
10854-1005884-lambeaux,,POI,,,,Belgium,lambeaux,loc,per
10854-1005884-horta,,,,,,,horta,loc,per
10916-1008736-hoeylaert,Hoeilaart,Commune,Hoeilaart,Flemish Brabant Province,Flanders,Belgium,hoeylaert,loc,loc
11002-1011709-watervliet,,,,,,,watervliet,loc,loc
11009-1012023-windelinckx,,,,,,,windelinckx,per,per
11046-1013142-charles michel,,,,,,,charles michel,per,per
11161-1015222-emile storms,,,,,,,emile storms,per,per
11228-1016570-ramakers,,,,,,,ramakers,per,per
11228-1016570-geleen,,,,,,,geleen,loc,loc
11456-1022116-lequarré,,,,,,,lequarré,per,per
11458-1022135-charles simon,,,,,,,charles simon,per,per
11656-1029495-crowther,,,,,,,crowther,per,per
11746-1031997-devi dja,,,,,,,devi dja,per,per
11953-1039499-emile jacques,,,,,,,emile jacques,per,per
12259-1048213-ukkel,Uccle,Section,Ukkel,Bruxelles-Capitale,Brussels Capital,Belgium,ukkel,loc,loc
12384-1051793-joly,,,,,,,joly,per,per
12425-1052883-musée castan,,POI,Brussels,Brussels Capital,Brussels Capital,Belgium,musée castan,loc,loc
12603-1056474-comte de chiny,,,,,,,comte de chiny,per,per
12653-1059033-attenrode,Attenrode,Section,Glabbeek,Flemish Brabant Province,Flanders,Belgium,attenrode,loc,loc
12961-1067797-capellani,,,,,,,capellani,per,per
12968-1067986-schepper,,,,,,,schepper,per,per
13020-1069243-alphene,,,,,,,alphene,per_ambig,per_ambig
13135-1070897-andres,,,,,,,andres,per,per
13177-1071862-de hollain,De Plain,Section,Tessenderlo,Limburg Province,Flanders,Belgium,de hollain,per_loc,loc
13317-1077010-peugeot,,,,,,,peugeot,per,per
13400-1078926-camille pivont,,,,,,,camille pivont,per,per
13545-1081921-charles michel,,,,,,,charles michel,per,per
13550-1081921-michel,,,,,,,michel,per,per
13630-1082620-laura turner,,,,,,,laura turner,per,per
13659-1083556-veughels,,,,,,,veughels,per,per
14202-1099675-munsterbilsen,Munsterbilzen,Section,Bilzen,Limburg Province,Flanders,Belgium,munsterbilsen,loc,loc
14227-1100810-oisin,,,,,,,oisin,per,per
14381-1106286-beaujour,,,,,,,beaujour,per,per
14413-1107651-antwerpen,Antwerpen,Commune,Antwerpen,Antwerpen,Flanders,Belgium,antwerpen,loc,loc
14426-1108375-wraycastle,,,,,,United Kingdom,wraycastle,loc,loc
14754-1116774-devreese,,,,,,,devreese,per,per
14911-1120534-henri spiegels,,,,,,,henri spiegels,per,per
15287-1130993-de tyberchamps,,,,,,,de tyberchamps,per,per
15303-1131277-roux-miroir,Roux-Miroir,Section,Incourt,Walloon Brabant Province,Wallonia,Belgium,roux-miroir,loc,loc
15312-1131530-court-au-bois,Coron du bois,Section,Saint-Ghislain,Hainaut Province,Wallonia,Belgium,court-au-bois,loc,loc
15330-1131718-berchem,Berchem,Section,Antwerpen,Antwerpen,Flanders,Belgium,berchem,loc,loc
15591-1138580-schrauwen,,,,,,,schrauwen,per,per
15705-1142398-verhaest,,,,,,,verhaest,per,per
15745-1143981-stievenard,,,,,,,stievenard,per,per
15983-1150744-la hestre,La Hestre,Section,Manage,Hainaut Province,Wallonia,Belgium,la hestre,loc,loc
16042-1152793-lappeman,,,,,,,lappeman,per,per
16356-1160951-malpertuis,,,,,,Netherlands,malpertuis,loc,loc
16385-1161576-levison,,,,,,,levison,per,per
16434-1162069-michaux,,,,,,,michaux,per,per
16434-1162069-platteborse,,,,,,,platteborse,per,per
16480-1163138-becker,,,,,,,becker,per,per
16583-1167185-valcourt,,,,,,,valcourt,per_loc,per_loc
16720-1171616-canter,,,,,,,canter,per,per
16728-1171723-brasserie ziane,,,,,,,brasserie ziane,loc,loc
16739-1172025-ewald,,,,,,,ewald,per,per
16792-1173900-gleich,,,,,,,gleich,per,per
17002-1179819-leopold deurne,,,,,,,leopold deurne,per,per_loc
17390-1197727-poepaert,,,,,,,poepaert,per_ambig,per
17446-1199515-alphonse druart,,,,,,,alphonse druart,per,per
