Column 1,viaf,wikidata,Column 2
Clara Markham,,,1
Clara Ward,Clara Ward,Clara Ward,1
Claude Chabry,Claude Chabry,,1
Claude Chappe,Claude Chappe,Claude Chappe,1
Claude D,,,1
Claude Desvalliers,,Claude Desvalliers,1
Claude Farrere,Claude Farrere,Claude Farrere,1
Claude Fils Marthe Pierre,Claude Fils Marthe Pierre,,2
Claude Georgen,,,7
Claude Levy,,Claude Levy,2
Claude Monet,Claude Monet,Claude Monet,2
Claude Pierre,,Claude Pierre,4
Claude Vignon,,Claude Vignon,3
Claude Vignon Jules Simon,,,1
Claudie Marcel Dubois,,,1
Claudine Jaaaaaaaa,,,1
Claudine Jamagne,,,1
Claus Remi,Claus Remi,,1
Claus Van Vyve,,,1
Clemence Chanteuse Nicolas Ysaye,,,1
Clemence Des,,,1
Clemence Hage,,,1
Clemence Lyon,,,1
Clemence Marie Saas,,,1
Clemence Marie Sass,,,1
Clemence Marie Sasse,,,1
Clemence Mathieu,Clemence Mathieu,,3
Clemence Nicolas Yasaye,,,1
Clemence Sass,,,2
Clemence Sasse,,,3
Clemence Waelgraeve,,,1
Clemence Walgraeve,,,1
Clemence Ysaye,,,2
Clemens Salvator,,,1
Clemens Sint,,,1
Clement Ader,Clement Ader,Clement Ader,1
Clement Baudour,,,1
Clement Bivort,,,1
Clement D,,,1
Clement De Clety,,,2
Clement De Saint,,,6
Clement Geetruyen,,,1
Clementia Hiers,Clementia Hiers,,2
Clementina Bert,,,2
Clementina Elewaut,,,1
Clementine Bert,,,2
Clementine Chanson,,,1
Clementine Clercq,,,1
Clementine De Clercq,,,1
Clementine De Vere,Clementine De Vere,Clementine De Vere,1
Clementine Mello,,Clementine Mello,5
Clement Le Boucher,,,2
Clement Le Terrassier,,,1
Clement Lyon,,,1
Clement Marcoux,,,1
Clement Moury,,,4
Clement Parent,Clement Parent,Clement Parent,2
Clement Saint,,,2
Clement Salvator,,,1
Clement Scaff,,,2
Clement Van Den Borren,,,1
Clement Vuylsteke,,,1
Cleo De Merode,Cleo De Merode,Cleo De Merode,1
Cleo Merode,,,1
Clifford B,,,1
Clifford Harmon,,Clifford Harmon,4
Clodomir Descamps,,,1
Clodomir Joli,,,1
Clodomir Joly,,,1
Clothilde Reyntiens,,,2
Clotilde Kleeberg,Clotilde Kleeberg,Clotilde Kleeberg,2
Clovis Descendre,,,2
Clovis Fauconnier,,,1
Clovis Olloy,,,1
Coco Cadavre,,,1
Coco Hpitaux,,,1
Coen Gesneuveld,,,1
Coen Judo,,,1
Coen Judoc,,,1
Coen Pamel,,,3
Cohen Dolloy,,,1
Cohen Kloot,,,4
Cohen Koelman,,,1
Cohen Meyers,,,1
Colard Funerailles,,,1
Cole Porter,Cole Porter,Cole Porter,1
Coleta Bert,,,1
Coleta Longuet,,,1
Coleta Matthys,,,1
Colete Bert,,,1
Colet Louise,Colet Louise,Colet Louise,1
Colet Maesschalk,,,1
Colette Boucart,,,1
Colette Ysaye,,,1
Colin Cafe,,,1
Colin Peintre,,,1
Colin Ross,,Colin Ross,3
Collard Betoging,,,1
Collard Choulet,,,1
Collard Dinant,,,1
Collard Leuven,,,2
Collard Studentenprotest,,,1
Colletta Penninck,,,1
Collette Bergh,,,1
Collin Alebric,,,1
Collin Bollen,,,1
Collin Cafe,,,5
Collin Claudy,,,1
Collin Claudy Pont,,,1
Collin Honore,,,2
Collin Jacqmotte,,,1
Collin Justice,,,1
Collin Koffie,,,1
Collin Lecocq,,,2
Collin Leuze,,,1
Collin Maison,,,1
Collins Afgrond,,,1
Collin Toerrefies,,,1
Collin Torrefies,,,1
Collin Verte,,,3
Colombe Joyeuse,,,1
Columba Belge,,,2
Conan Doyle,Conan Doyle,Conan Doyle,4
Concorde Carnieres,,,2
Concorde Gand,,,2
Concordia Wevelghem,,,1
Constance De Linden,,,1
Constance De Vere,Constance De Vere,,1
Constant Bert,,,3
Constant Bourquin,Constant Bourquin,,1
Constant Burgeon,,,2
Constant Cafe,,,1
Constant Dujardin,,,1
Constant Galle,,,1
Constant Girel,Constant Girel,Constant Girel,1
Constant Goetschalck,,,1
Constant Hubert Mathot,,,1
Constant Hubin,,,1
Constantia Eeckhout,,,1
Constantin Bom,,,1
Constantin Boon,Constantin Boon,,1
Constantin Courtois,,,2
Constantin Depoorter,,,1
Constantin Heger,Constantin Heger,Constantin Heger,8
Constantin Hooghvorst,,,1
Constantin Le Paige,Constantin Le Paige,Constantin Le Paige,1
Constantin Malaise,Constantin Malaise,,1
Constantin Meunier,Constantin Meunier,Constantin Meunier,3
Constantinople Bossche,,,2
Constantinople Conseiller,,,1
Constantinople Louchier,,,1
Constantinople Mariage,,,2
Constantinople Marriage,,,2
Constantinople Marries,,,1
Constantinople Modern,,,1
Constantinus Bert,,,1
Constantinus Laurijs,,,1
Constantinus Van Mossevelde,,,1
Constantin Van Cromphaut,,Constantin Van Cromphaut,1
Constant Joseph Delvaux,,,1
Constant Laurijs,,,1
Constant Le Boucher,,,7
Constant Le Marin,Constant Le Marin,Constant Le Marin,15
Constant Marien,,,1
Constant Marin,,,1
Constant Mathot,,,1
Constant Mesdagh,,,1
Constant Nestor,,,1
Constant Nestor Joseph,,,1
Constant Paulet,,,1
Constant Renchon,,,1
Constant Renders,,,1
Constant Struyven,,Constant Struyven,2
Constant Van Mossevelde,,,2
Constant Wolfs,,,1
Conte De Noel,,,1
Conte Du Roisin,,,1
Coralie Baert,,,2
Corneille Frans Walravens,,,1
Corneille Timmermans,,,4
Corneille Walravens,,,1
Cornelie Van Malderen,,,1
Cornelis Andre,,,1
Cornelis Andreas,,,1
Cornelis Andreas Petrus,,,1
Cornelis De Dood,Cornelis De Dood,,4
Cornelis Dood,Cornelis Dood,,1
Cornelis Georges,,,1
Cornelis Petrus,,,1
Cornelis Timmermans,,,1
Cornelis Van Haaren,Cornelis Van Haaren,,1
Cornelis Warmenbol,,,1
Cornelius Coster,,,1
Cornelius Somers,,,1
Cornelius Timmermans,,,1
Cornille Dudzele,,,1
Cornille Karel,,,1
Cornille Leonia,,,1
Cornille Poelman,,,1
Cornil Maison,,,2
Cornil Station,,,1
Cornil Veuve,,,1
Cornil Vve,,,1
Corn Pop,,,1
Cosmo Electrique,,,1
Craig Anvers,,,1
Cristal Cinema,,,1
Crystal Cinema,,,1
Curtis Trainer,,,1
Cyriaque Gillain,Cyriaque Gillain,Cyriaque Gillain,1
Cyriel Houwaert,Cyriel Houwaert,,1
Cyriel Lagrou,,,1
Cyriel Lesage,,,2
Cyriel Roosens,,,1
Cyriel Schets,,,1
Cyrille Depoorter,,,1
Cyrille Doise,,,1
Cyrille Emile Doise,,,1
Cyrille Genon,,,1
Cyrille Monseur,,,1
Cyrille Rousseel,,,1
Cyrille Ryckebosch,,,1
Cyrille Vermeren,,,1
Daan Campenhout,,,1
Daily Kazerne,,,1
Daily Telegraph,,,7
Damiaan Pater,Damiaan Pater,Damiaan Pater,1
Dan De Lange,,,1
Daniel Clesse,,Daniel Clesse,1
Daniel Cordemans,,,1
Daniel De Lange,,Daniel De Lange,4
Daniel Fievet,Daniel Fievet,,1
Daniel Friel,Daniel Friel,,1
Daniel Lange,,Daniel Lange,1
Danielle Didier,,,1
Daniel Lesueur,Daniel Lesueur,Daniel Lesueur,1
Daniel Meyer,,Daniel Meyer,1
Daniel Nazy,,,1
Daniel Sorano,Daniel Sorano,Daniel Sorano,1
Daniel Spiegels,,,1
Daniels Schilde,,,1
Daniel Stern,Daniel Stern,Daniel Stern,1
Daniel Sternefeld,Daniel Sternefeld,Daniel Sternefeld,2
Daniel Struyf,,,1
Daniel Tempels,,,2
Daniel Tobias,,,2
Daniel Van Damme,Daniel Van Damme,,1
Danilo Montenegro,,,1
Danny Desplenter,,,1
Darby Joe,Darby Joe,Darby Joe,1
Dario Vellozo,Dario Vellozo,,1
Darling Dithy,,,2
Dauw Appelterre,,,1
Dauw Tabac,,,1
Dauw Tabak,,,1
Daver Simonne,,,1
David Adrien,,,1
David Basile,,,1
David Boe,,David Boe,2
David Brandes,,,1
David Chapelier,David Chapelier,,2
David Citroen,,David Citroen,1
David Coelho,,,2
David Coucke,,,2
David Couckje,,,1
David Fievet,,,2
David Guillaume Towne,,,1
David Hector,,David Hector,1
David Lefebvre,,,1
David Luyckx,,,1
David Moll,,,1
David Neel,,,2
David Oijens,,David Oijens,1
David Oyens,David Oyens,David Oyens,11
David Pecher,,,1
David Picard,,David Picard,1
David Pierre Oijens,,,1
David Pierre Oyens,,,3
David Pieter Oyens,,,3
David Reclus,,,1
David Remy,,,1
David Renders,David Renders,,1
David Ricardo,David Ricardo,David Ricardo,2
David Richard,,David Richard,2
David Saint,,,1
David Salberter,,,1
David Siva,,,1
David Sprak,David Sprak,,2
David Tempels,,,1
Davidt Kid,,,1
David Verbist,,,11
David Wafelman,,,1
David William Towne,,,1
Davis Pierpont,,Davis Pierpont,1
Davis Rochefort,,,1
Daye Huyghe,,,1
Dean Paul,,Dean Paul,3
Deborah Kerr,Deborah Kerr,Deborah Kerr,1
Dees Poorter,,,2
Delisa La Fille,,,1
Della Faille,,,1
Delphina Zuster,,,1
Delphine Potocka,Delphine Potocka,Delphine Potocka,2
Delphine Regnault,,,1
Demetrius Boulger,,,1
Demosthene Rue,,,1
Dene Charles,Dene Charles,,1
Denijs Balcaen,,,1
Denijs Sint,,,3
Denijs Vandevenne,,,1
Denis Baugnies,,,1
Denis Baugniet,,,1
Denis De Brabander,,,1
Denis De Saint,,,1
Denis De Visscher,Denis De Visscher,,1
Denis De Visser,,,2
Denise Hartog,Denise Hartog,,1
Denise Lehmann,,,1
Denise Monseur,,,1
Denise Tolkovski,,,1
Denise Tolkovsky,,,1
Denis Haine,,Denis Haine,2
Denis Jacquemin,Denis Jacquemin,,2
Denis Lamalle,,,1
Denis Olieu,,,3
Denis Robin,,Denis Robin,1
Denis Saint,,,16
Dery Dwelshauvers,,,1
Desire Coupez,,,1
Desire D,,,1
Desire Dandumont,,,2
Desire Delville,,,1
Desire Depaepe,,,1
Desire Depoorter,,,1
Desire Depoortere,,,1
Desire De Poortere,,,1
Desire Dubray,,,1
Desiree Depasse,,,1
Desire Fasbender,,,1
Desire Favier,,,3
Desire Fleix,,,1
Desire Fromont,,,1
Desire Harvengt,,,3
Desire Heynberg,,Desire Heynberg,2
Desire Jooken,,,1
Desire Leonard,Desire Leonard,,1
Desire Placet,,,1
Desire Poorter,,,1
Desire Rondou,,,2
Desire Rubbens,,,1
Desire Smits,,,1
Desire Vandenberghe,,,1
Desire Vanderpoorten,,,1
Desire Van Severen,,,1
Desire Verstraete,,,1
Dessy Dokter,,,2
Devi Dja,Devi Dja,Devi Dja,4
Devigne Hart,,,2
Dhanis Baron,Dhanis Baron,,1
Dhanis Lieutenant,,,3
Dhanis Soumoy,,,1
Dhondt Moerkerke,,,1
Diamant Prijs,,,1
Diamant Staking,,,2
Diamant Torfs,,,1
Diamant Turquie,,,1
Diamant Van,,,1
Diamant Werbrouck,,,2
Diamond Branch,,,1
Diamond London,,,1
Diamond Workers,,,2
Didier Dricot,,,1
Didier Dupont,Didier Dupont,,1
Dietse Meisjesscharen,,,1
Dieudonne Burgemeester,,,3
Dieudonne Capitain,,,1
Dieudonne Capitaine,Dieudonne Capitaine,,1
Dieudonne Commandant,,,1
Dieudonne Deschamps,,,1
Dieudonne Dokter,,,1
Dieudonne Jamar,,Dieudonne Jamar,1
Dieudonne Kapitein,,,1
Dijle Korbeek,,,1
Dijle Rumpst,,,1
Dijle Rumst,,,1
Dille Denijs,Dille Denijs,Dille Denijs,1
Dilly Beurre,,,3
Dinah Beumer,,,1
Dior New,Dior New,,1
Dirk Van Den Berg,,Dirk Van Den Berg,3
Django Reinhardt,Django Reinhardt,Django Reinhardt,4
Djuma De Peuter,,,1
Djuma Kwilu,,,1
Dodd Tamsui,,,1
Dominic Huybrechts,,,1
Dominique Barbieux,,,2
Dominique Desmet,,,1
Dominique Favier,Dominique Favier,,2
Dominique Lang,Dominique Lang,Dominique Lang,1
Dominique Maes,Dominique Maes,,1
Dominique Navez,,,1
Domitien Gosselin,,,2
Donas Tour,Donas Tour,Donas Tour,1
Donat De Hemptinne,Donat De Hemptinne,,1
Donatus Coenen,,,1
Donis Esneux,,,1
Donis Moulin,,,1
Dony Desire,,,1
Doree Charleroimaison,,,1
Doren Carabiner,,,1
Doren Cerclevan,,,1
Doren Lieutenant,,,2
Doren Van,,,4
Dorette Archangel,,,1
Dorsan Van Reysschoot,Dorsan Van Reysschoot,,2
Douglas Chandler,Douglas Chandler,Douglas Chandler,1
Drion Andris Senechal,,,1
Drion Drionzoe,,,1
Drion Fils,,,1
Drion Flament,,,5
Drion Nee,,,1
Drion Neuvice,,,1
Drion Sambre,,,1
Drion Senechal,,,1
Drion Troye,,,1
Drion Troyezoe,,,1
Drion Vente,,,1
Drion Vins,,,1
Drion Vins Bourgogne,,,2
Drion Zoe,,,1
Duke Ellington,Duke Ellington,Duke Ellington,1
Duke Van Wellington,,,1
Dundee Major,,,1
Durand Maison,Durand Maison,,1
Durand Revueleon,,,1
Durand Ruel,,,1
Dymphna Aerts,,,1
Dymphna Homans,,,1
Dymphna Servais,,,1
Dyonise Tadema,,,1
Eddie Cantor,Eddie Cantor,Eddie Cantor,1
Eddie Honken,,,1
Eddy Buntincx,,,1
Eddy Meert,,,1
Eddy Studio,,,1
Eden Ancien,,,1
Eden Bourse,,,1
Eden Boxe,,,1
Eden Catch,,,1
Eden Charleroicoucke,,,1
Eden Charleroifin,,,1
Eden Charleroiles,,,1
Eden Charleroimartyrs,,,1
Eden Cine,,,1
Eden Cinema,,,3
Eden Cuba,Eden Cuba,,1
Eden Dulait,,,4
Eden Ecalirage,,,1
Eden Electricite,,,2
Eden Electrique,,,1
Eden Excelsior,,,1
Eden Lumiere,,,1
Eden Theatre,Eden Theatre,,8
Edgar Allan Poe,Edgar Allan Poe,Edgar Allan Poe,1
Edgar Allen Poe,,,2
Edgard Balthazar,,,1
Edgard Boone,,,1
Edgard Castelein,,,1
Edgard Colle,Edgard Colle,Edgard Colle,1
Edgard Elixir,,,2
Edgar De Prelle,,,1
Edgard Galasse,,Edgard Galasse,1
Edgard Georgen,,,6
Edgard Licot,,,1
Edgard Marthe Pierre,,,1
Edgard Marthe Pierre Claude,,,1
Edgard Poelmans,,Edgard Poelmans,1
Edgard Scaufflaire,,,1
Edgar Licot,,,2
Edgar Monteil,Edgar Monteil,Edgar Monteil,1
Edgar Poe,Edgar Poe,Edgar Poe,3
Edgar Prelle,,,2
Edgar Simonart,,,1
Edgar Wallace,Edgar Wallace,Edgar Wallace,2
Edison Chaussee,,,1
Edison Helmet,,,1
Edison Palace,,,2
Edith Piaf,Edith Piaf,Edith Piaf,1
Edith Van Leckwyck,,Edith Van Leckwyck,1
Edle Echtgenoten,,,1
Edmond Bartels,Edmond Bartels,,3
Edmond Bastyns,,,1
Edmond Baugniers,,,1
Edmond Baugnies,,,1
Edmond Baugniet,,,4
Edmond Blanc,Edmond Blanc,Edmond Blanc,2
Edmond Bossche,Edmond Bossche,,1
Edmond Bossu,,,1
Edmond Bouvier,,,1
Edmond Bruyere,Edmond Bruyere,,1
Edmond Daver,,,1
Edmond De Buck,,,1
Edmond De Knibber,,Edmond De Knibber,1
Edmond Delchambre,,,1
Edmond Delecroix,,,1
Edmond De Schampheleer,Edmond De Schampheleer,Edmond De Schampheleer,1
Edmond Devrieze,,,3
Edmond De Werbrouck,,,1
Edmond Fierlants,Edmond Fierlants,Edmond Fierlants,1
Edmond Focquet,,,1
Edmond Foulon,,,1
Edmond Gabriel Bartels,,,1
Edmond Gervais,,,1
Edmond Goedertier,,,1
Edmond Hanssens,Edmond Hanssens,Edmond Hanssens,1
Edmond Helin,,,2
Edmond Hollande,Edmond Hollande,,1
Edmond Jacques,,Edmond Jacques,1
Edmond Jaspar,,Edmond Jaspar,1
Edmond Kamp,,,1
Edmond Lambo,,,1
Edmond Lapon,Edmond Lapon,,1
Edmond Lecocq,,,1
Edmond Meert,,,2
Edmond Michiels Niels,,,1
Edmond Parmentier,Edmond Parmentier,Edmond Parmentier,1
Edmond Pauwels,,,1
Edmond Peny,Edmond Peny,,1
Edmond Perbal,,,4
Edmond Picard,Edmond Picard,Edmond Picard,2
Edmond Poussart,,,1
Edmond Reybrouck,,,1
Edmond Schampheleer,Edmond Schampheleer,,1
Edmond Schroeder,,Edmond Schroeder,1
Edmond Terlinden,,,1
Edmond Testelin,,,2
Edmondus Van Damme,,,1
Edmond Van Damme,,,1
Edmond Vandenbossche,,,1
Edmond Vandervaren,,,1
Edmond Verstraeten,Edmond Verstraeten,Edmond Verstraeten,2
Edmond Wyngaert,,,3
Edmund Dirkx,,,1
Edmund Morel,,Edmund Morel,2
Edouard Adelot,Edouard Adelot,,1
Edouard Agneessens,Edouard Agneessens,Edouard Agneessens,5
Edouard Bert,,,1
Edouard Block,,,2
Edouard Boen,,,1
Edouard Bohlen,,,1
Edouard Chome,,,1
Edouard Cocymans,,,1
Edouard Coeymans,,,1
Edouard Davelouis,,,1
Edouard De Callatay,Edouard De Callatay,,2
Edouard De Cooman,,,1
Edouard Decorte,,,1
Edouard De Corte,Edouard De Corte,,1
Edouard Defernez,,,1
Edouard Degen,,,1
Edouard De Keyser,,Edouard De Keyser,1
Edouard De Latour,Edouard De Latour,Edouard De Latour,1
Edouard De Linge,Edouard De Linge,,1
Edouard Delvaux,Edouard Delvaux,Edouard Delvaux,1
Edouard De Roubaix,,,2
Edouard De Saint,,,1
Edouard Despret,,,1
Edouard De Vynck,,,1
Edouard Duverger,Edouard Duverger,,1
Edouard Empain,,Edouard Empain,1
Edouard Engelander,,,1
Edouard Fetis,Edouard Fetis,Edouard Fetis,1
Edouard Fiers,,Edouard Fiers,1
Edouard Francois,,Edouard Francois,1
Edouard Friedberg,,,1
Edouard Gabriel Chome,,,1
Edouard Grielens,,,1
Edouard Jacob,,Edouard Jacob,2
Edouard Jacobs,,Edouard Jacobs,1
Edouard Jaspar,,,1
Edouard Joly,,Edouard Joly,3
Edouard Kevers,,,1
Edouard Keyser,,,1
Edouard Lambert,Edouard Lambert,Edouard Lambert,1
Edouard Lassen,Edouard Lassen,,5
Edouard Maheu,,,2
Edouard Manet,Edouard Manet,Edouard Manet,14
Edouard Manet Antonin Proust,,,1
Edouard Manet Argenteuil,,,5
Edouard Manet Argentueil,,,1
Edouard Manet Chez,,,2
Edouard Manet Nana,,,4
Edouard Manet Olympia,,,3
Edouard Manet Pere,,,2
Edouard Manet Salon,,,1
Edouard Michel,,Edouard Michel,3
Edouard Moerenhout,,Edouard Moerenhout,2
Edouard Otlet,,Edouard Otlet,1
Edouard Panis,,,2
Edouard Pecher,,Edouard Pecher,2
Edouard Philippe,,Edouard Philippe,1
Edouard Pierre,,Edouard Pierre,1
Edouard Pierre Volders,,,1
Edouard Risler,Edouard Risler,Edouard Risler,3
Edouard Romberg,Edouard Romberg,,3
Edouard Samuel,,,1
Edouard Sohier,,,1
Edouard Verheyde,,,1
Edouard Verheyden,,,1
Edouard Vii,,Edouard Vii,2
Edouard Volders,,,3
Eduard Asselberghs,,,1
Eduard Bert,,Eduard Bert,1
Eduard Boen,,,1
Eduard Buntinx,,,1
Eduard Cammaert,,,1
Eduard Decorte,,,1
Eduard De Corte,,,1
Eduard Fetis,,,1
Eduard Pierre Volders,,,1
Eduard Van Even,,,1
Edward And,,,1
Edward Asselberghs,,,1
Edward Connelly,Edward Connelly,Edward Connelly,1
Edward Detiege,,,1
Edward Ipers,,,1
Edward Joris,,Edward Joris,3
Edward Leonard,,,1
Edward Naudts,,,2
Edward Ramsey,,,1
Edward Van Even,Edward Van Even,Edward Van Even,1
Edward Vekemans,,,1
Edwin Ellenbogen,,,1
Edwin Katzenellenbogen,,Edwin Katzenellenbogen,1
Edwin Tooley,,,1
Eeckhout Lokeren,,,1
Eeckhout Van,,,2
Efsa Url,,,1
Egide Donckers,,,1
Egide Renders,,,1
Egide Rombaux,,Egide Rombaux,1
Egide Van Ophem,,,1
Egidius Renders,,,1
Eglantine Griand,,,1
Eglantine Plan,,,1
Egmont Civile,,,1
Egmont Hoorn,,,1
Egmont Zwaard,,,1
Ekrem Vlora,,Ekrem Vlora,1
Eldo Cine,,,1
Eldo Cinema,,,1
Eldo Rue,,,1
Eleanor Roosevelt,Eleanor Roosevelt,Eleanor Roosevelt,1
Elemer Lonyay,Elemer Lonyay,Elemer Lonyay,1
Eleonore Gomez,,,3
Eleuthere Govaert,,,1
Eleuthere Necrologie,,,1
Elias Hertog,,,1
Elie Club,,,2
Elie Decamps,,,2
Elie Esquenazi,,,1
Elie Steens,,,1
Elie Wasterlein,,,1
Eline Bonnet,,,1
Elisabeth Beaujean,,,1
Elisabeth Bell,,Elisabeth Bell,1
Elisabeth Berens,,,1
Elisabeth Cincinnati,Elisabeth Cincinnati,,1
Elisabeth Cours,Elisabeth Cours,,1
Elisabeth De La Reine,,,1
Elisabeth Delbecq,,,2
Elisabeth Flesch,Elisabeth Flesch,,1
Elisabeth Hospitaal,,,1
Elisabeth Invaliden,,,1
Elisabeth Kleiren,,,1
Elisabeth Marie De Greef,,,1
Elisabeth Reine,,,8
Elisabeth Rue,Elisabeth Rue,,1
Elisabeth Sainte,,,1
Elisabeth Servais,,,1
Elisabeth Simonis,,,1
Elisabeth Simonis Servais,,,1
Elisabeth Ste,,,1
Elisabeth Verminkten,,,1
Elisabeth Wayaffe,,,1
Elisa Fille,,,2
Elisa Hoeberechts,,,1
Elisa La Fille,,,1
Elisa Petrens,,,1
Elisa Vleeschouwer,,,1
Elise Allard,Elise Allard,,1
Elisee Decamps,,,2
Elisee Fievet,,,1
Elise Ego,,,1
Elise Feis,,,1
Elise Hoeberechts,,,1
Elise Lazare,,,1
Elise Meyers,Elise Meyers,,1
Elise Reclus,,,1
Elizabeth Bell,,Elizabeth Bell,1
Ella Fitzgerald,Ella Fitzgerald,Ella Fitzgerald,1
Ellen Eenens,,,1
Ellery Queen,Ellery Queen,,1
Elles Mlle,,,1
Ellis Bell,Ellis Bell,Ellis Bell,1
Ellis Island,Ellis Island,,1
Ellis Mlle,,,1
Elmar Lagrou,,,1
Elmire Soprano,,,1
Elodie Adolphine,,,1
Elodie Glineur,,,2
Eloi Castelot,Eloi Castelot,,1
Eloi Caulier,,,2
Eloi Delbecq,,,3
Eloi Delsard,,,1
Eloi Neuve,,,1
Eloi Saint,,,3
Eloise Libotte,,,1
Eloi Wynckel,,,1
Elooi Sint,,,1
Eloy Delsard,,,1
Eloy Rue,,,2
Eloy Saint,,,3
Elsa Lehmann,,,1
Elsa Ruegger,Elsa Ruegger,,1
Else Schulhoff,Else Schulhoff,,1
Elsie Serclaes,Elsie Serclaes,,1
Elsie Verpleegster,Elsie Verpleegster,,1
Els Salens,,,1
Elvira Sysmans,,,1
Elvira Valentini,Elvira Valentini,,1
Elysee Fauvieau,,,1
Elza Szamosi,Elza Szamosi,Elza Szamosi,1
Emanuel Hiel,Emanuel Hiel,Emanuel Hiel,1
Emanuel Huisman,,,1
Emanuel Moor,Emanuel Moor,Emanuel Moor,1
Emerence Verstraete,,,1
Emery Suicide,,,1
Emiel Bergen,,,2
Emiel Bert,,,2
Emiel Dilis,Emiel Dilis,,1
Emiel Hullebroeck,Emiel Hullebroeck,Emiel Hullebroeck,3
Emiel Lossy,,,2
Emiel Obijn,,,1
Emiel Stevens,Emiel Stevens,,1
Emiel Van Bergen,,,3
Emiel Vanbost,,,1
Emiel Van Bost,,,1
Emiel Van Broeck,,,1
Emiel Verhaeren,,,2
Emiel Verheeke,,,1
Emil Bert,,,1
Emile Allard,,Emile Allard,2
Emile Bacq,,,1
Emile Banning,Emile Banning,Emile Banning,1
Emile Bare,,,6
Emile Barette,,,1
Emile Beco,Emile Beco,,1
Emile Bert,,,3
Emile Binon,,,1
Emile Bockstael,,Emile Bockstael,2
Emile Bosquet,Emile Bosquet,Emile Bosquet,1
Emile Buisset,,Emile Buisset,1
Emile Bulcke,Emile Bulcke,Emile Bulcke,1
Emile Busson,,,1
Emile Carpentier,,Emile Carpentier,1
Emile Chapelier,Emile Chapelier,Emile Chapelier,2
Emile Charles,,Emile Charles,1
Emile Chaudron,Emile Chaudron,Emile Chaudron,1
Emile Chaumont,,,1
Emile Chautard,Emile Chautard,Emile Chautard,1
Emile Claus,Emile Claus,Emile Claus,1
Emile Colart,,,2
Emile Colle,,,1
Emile Cuvelier,Emile Cuvelier,Emile Cuvelier,1
Emile D,,,2
Emile Daloze,,,1
Emile Danco,,Emile Danco,1
Emile De Bare,,,1
Emile De Beukelaer,,Emile De Beukelaer,1
Emile De Buyser,,,1
Emile Degand,,,1
Emile Delange,,,2
Emile De Laveleye,Emile De Laveleye,Emile De Laveleye,1
Emile Delhaze,,,21
Emile Delplace,Emile Delplace,,3
Emile De Mot,,Emile De Mot,1
Emile Deschanel,Emile Deschanel,Emile Deschanel,1
Emile De T,,,1
Emile Doux,,,1
Emile Fack,,,5
Emile Ferfaille,,Emile Ferfaille,1
Emile Fouillot,,,2
Emile Fourcault,Emile Fourcault,Emile Fourcault,1
Emile Fresart,,,2
Emile Gautier,,Emile Gautier,1
Emile Gerard,,Emile Gerard,1
Emile Gobbe,,Emile Gobbe,1
Emile Grevisse,Emile Grevisse,,1
Emile Hayoit,,,1
Emile Honore,,,1
Emile Jacques,,Emile Jacques,1
Emile Janlet,Emile Janlet,Emile Janlet,1
Emile Jeanty,,,1
Emile Jooris,,Emile Jooris,1
Emile Jooris Necrologie,,,1
Emile Joseph,,,1
Emile Joseph Pachtere,,,1
Emile Laloux,,,1
Emile Lamont,,,1
Emile Lange,,,1
Emile Lauga,Emile Lauga,,1
Emile Laurent,,Emile Laurent,1
Emile Le Brun,,,1
Emile Leclercq,Emile Leclercq,,1
Emile Ledegem,,,2
Emile Louis Obyn,,,1
Emile Lurquin,Emile Lurquin,,1
Emile Maelstaf,,,1
Emile Marcoux,,,1
Emile Mathieu,,Emile Mathieu,3
Emile Mathieu Hortense,,,1
Emile Mathieu Hortense Clemence,,,1
Emile Maton,Emile Maton,,4
Emile Meurice,Emile Meurice,Emile Meurice,1
Emile Michel,,Emile Michel,2
Emile Moses,Emile Moses,,1
Emile Nyssens,,,4
Emile Obijn,,,1
Emile Obyn,,,3
Emile Possemiers,,,1
Emile Renders,Emile Renders,Emile Renders,2
Emile Reynaud,Emile Reynaud,Emile Reynaud,1
Emile Rosar,,,1
Emile Rousseau,,Emile Rousseau,1
Emile Spanoghe,Emile Spanoghe,,3
Emile Storms,,Emile Storms,4
Emile Strimelle,,,1
Emile Sweron,,Emile Sweron,2
Emile Trognee,,,3
Emile Van Bost,,,1
Emile Vande,,,1
Emile Van Den Bemden,,,1
Emile Vandervelde,Emile Vandervelde,Emile Vandervelde,1
Emile Van Nimmen,,,1
Emile Vansteenkiste,,,1
Emile Verdeyen,,,1
Emile Verhaeren,Emile Verhaeren,Emile Verhaeren,8
Emile Verheeke,,,1
Emile Verstraete,,,1
Emile Vinck,,Emile Vinck,1
Emile Vitta,Emile Vitta,,2
Emile Walravens,,,1
Emile Wauters,Emile Wauters,Emile Wauters,2
Emile Wodon,,,1
Emile Wyngaard,,,2
Emile Zola,,Emile Zola,1
Emilia Conti,Emilia Conti,,1
Emilia Letellier,,,1
Emilie Blomme,,,1
Emilie Bronte,,,3
Emilie Clemence Blomme,,,1
Emilie De Beukelaer,,,1
Emilie Elisa Rockmann,,,1
Emilien Verstraete,,,1
Emilius Bert,,,1
Emil Ludwig,,Emil Ludwig,1
Emil Naucke,Emil Naucke,Emil Naucke,2
Emil Nauke,,,1
Emil Van Bost,,,2
Emil Wastyn,,,1
Emily Bronte,Emily Bronte,Emily Bronte,7
Emma Andaluzia,,,1
Emma Bettonville,,,1
