Column 1,viaf,wikidata,Column 2
Agnes Luig,,,1
Agnes Sorma,Agnes Sorma,Agnes Sorma,1
Ahmed Ait,Ahmed Ait,Ahmed Ait,1
Ahmed Riza,,Ahmed Riza,4
Ahmed Sharifu,,,1
Ahmet Zogukonitza,,,1
Aimable Bayet,,,1
Aimable Desire,,,1
Aimable Louis,,,1
Aimable Martin,,,1
Aime Allaer,,,5
Aime Bogaerts,,,1
Aime Cornil,,,1
Aime Demanet,,,1
Aime Depoorter,,,1
Aime Durieux,,,3
Aime Hutt,,,1
Aime Mari,,,1
Aime Michaux,,,1
Aime Pinchart,,,2
Aime Thomas,,,1
Aime Verstraete,,,1
Aine Linnen,,,1
Aine Rey,,,2
Aise Petite,,,1
Akiba Rubinstein,Akiba Rubinstein,Akiba Rubinstein,1
Alain Burgeon,,,1
Alain De Roubaix,,,1
Alain Gerbault,Alain Gerbault,Alain Gerbault,1
Alain Martin,,,1
Alain Wilmet,,,2
Alan Chambon,,,1
Alan Rwsthorne,,,1
Alan Turing,,Alan Turing,1
Alba Casa,,,1
Alban Bertrand,,,1
Alban Collignon,Alban Collignon,Alban Collignon,1
Albania Revue,,,1
Alberic Berghman,,,1
Alberic Collin,Alberic Collin,Alberic Collin,1
Alberic Collin Justice,,,1
Alberic De Grave,Alberic De Grave,,1
Alberic Delbecq,,,7
Alberic De Ridder,,,1
Alberic Dons,,,2
Alberic Grave,Alberic Grave,,1
Alberique Delbecq,,,1
Alber Sohie,,,1
Albert Achten,,,1
Alberta Deneffe,,,1
Albert Albertine,,,1
Albert Bach,,Albert Bach,1
Albert Back,,,1
Albert Bailly,Albert Bailly,,1
Albert Bapteme,,,1
Albert Baviere,,,2
Albert Bert,,,1
Albert Berthel,Albert Berthel,,1
Albert Bohie,,,1
Albert Boone,Albert Boone,Albert Boone,6
Albert Bouche,,Albert Bouche,1
Albert Bouchery,,,1
Albert Bouckaert,Albert Bouckaert,,1
Albert Bougnon,,,2
Albert Bresil,,,1
Albert Cambier,Albert Cambier,,2
Albert Canal,,,1
Albert Champion,,,1
Albert Congoboone,,,1
Albert Creteur,,,1
Albert Das,,,1
Albert Dassy,,,1
Albert De Balle,,,1
Albert De Galles,,,1
Albert De Klerk,,Albert De Klerk,1
Albert Delatour,Albert Delatour,Albert Delatour,1
Albert De Latour,Albert De Latour,,5
Albert Delbecq,,,1
Albert Delegation,,,1
Albert Delwarte,,Albert Delwarte,1
Albert De Poortere,Albert De Poortere,,1
Albert De Ridder,,,1
Albert Desenfans,,Albert Desenfans,2
Albert Despret,,,1
Albert De Vriendt,,,3
Albert Devriese,,,1
Albert Dohie,,,1
Albert Du Bois,,Albert Du Bois,1
Albert Duboscq,Albert Duboscq,,1
Albert Du Canal,,,1
Albert Durand Interprete,,,1
Albert Du Roi,,,1
Albert Dyserinck,,,1
Albert Edoiuard,,,1
Albert Floris,,,2
Albert Francois,,Albert Francois,1
Albert Gombert,Albert Gombert,,1
Albert Grisar,Albert Grisar,Albert Grisar,1
Albert Guggenheim,Albert Guggenheim,,1
Albert Houtart,Albert Houtart,Albert Houtart,1
Albert Huvenne,,,2
Alber Thys,,,1
Albert Ier,,Albert Ier,2
Albertine Albert,,,1
Albertine Brandeis,,,1
Albertine Brandels,,,1
Albertine Herve,,,1
Alberti Oppenheim,,,1
Albert Joseph Delvaux,,,1
Albert Koning,,,3
Albert Lacroix,Albert Lacroix,Albert Lacroix,1
Albert Le Canal,,,1
Albert Lecuyer,Albert Lecuyer,,1
Albert Leemans,,,1
Albert Le Gros,,,1
Albert Lescuyer,,,2
Albert Lietaert,,Albert Lietaert,1
Albert Luchtvaart,,,1
Albert Marcoux,,,1
Albert Marlier,Albert Marlier,,1
Albert Mestag,,,1
Albert Micha,Albert Micha,,1
Albert Michant,,Albert Michant,1
Albert Michel,,Albert Michel,3
Albert Moutias,,,1
Albert Museum,,,1
Albert Nagelmackers,,,2
Albert Nelson Follet,,,1
Albert Paladini,,,1
Albert Panier,,,2
Albert Paternotre,,,3
Albert Paulis,Albert Paulis,Albert Paulis,1
Albert Pierre,,Albert Pierre,1
Albert Princ,,,1
Albert Prince,,,1
Albert Prins,,Albert Prins,3
Albert Prix,,,1
Albert Reims,,,1
Albert Robert,,Albert Robert,1
Albert Rohie,,,1
Albert Roi,,,5
Albert Russe,,,3
Albert Ruzette,,,1
Albert Sacjos,,,2
Albert Saint,,,1
Albert Salti,,,1
Albert Samain,Albert Samain,Albert Samain,1
Albert Sar,,,1
Albert Schic,,,1
Albert Schie,,,2
Albert Schoemakers,,,1
Albert Scnie,,,1
Albert Semois,,,3
Albert Serpieters,,,1
Albert Simonart,,,2
Albert Simonis,Albert Simonis,,2
Albert Sirtaine,,,2
Albert Smekens,,,1
Albert Sobie,,,1
Albert Sohic,,,2
Albert Sohie,,,17
Albert Sohie Felix,,,1
Albert Sohier,,,5
Albert Sohio,,,1
Albert Sohiy,,,1
Albert Sohle,,,1
Albert Sohy,,,2
Albert Solde,,,1
Albert Solfe,,,1
Albert Solie,,,3
Albert Solre,,,2
Albert Solue,,,1
Albert Sonie,,,3
Albert Sowie,,,2
Albert Stevens,,Albert Stevens,2
Albert Stockel,,,2
Albert Storrer,Albert Storrer,Albert Storrer,3
Albert Terken,,Albert Terken,1
Albert Tervuren,,,1
Albert Thibaut,Albert Thibaut,Albert Thibaut,1
Albert Thonus,,,2
Albert Thys,,,1
Albert Tobias,,,2
Albert Urbach,,,1
Albertus Bert,,,1
Albertus Braet,,,1
Albertus Sint,,,1
Albert Vanderkindere,,Albert Vanderkindere,1
Albert Vander Linden,Albert Vander Linden,,3
Albert Van Goethem,,,1
Albert Vanovertvelt,,,1
Albert Verhaeren,Albert Verhaeren,,1
Albert Verstraelen,,,1
Albert Von Barystraat,,,1
Albert Watrin,Albert Watrin,,1
Albert Wolff,Albert Wolff,Albert Wolff,7
Albert Yellowstone,,,1
Albine Boone,,,1
Albino Schwestern,,,1
Albion D,,,1
Albrecht Boone,,,1
Albrecht Devriendt,,,1
Albrecht Sint,,,1
Aldegonde Sainte,,,4
Alden Eyck,,,2
Aldous Huxley,Aldous Huxley,Aldous Huxley,1
Alegria Martini,,,1
Aleida,,,1
Aleida Dehaan,,,1
Alessandro Coronisio,,,1
Alessandro Rinaldi,Alessandro Rinaldi,Alessandro Rinaldi,1
Alexander And,,,1
Alexander Henry,,Alexander Henry,1
Alexander Lohman,,Alexander Lohman,1
Alexander Mortelmans,,,1
Alexander Ponchon,,,1
Alexander Prins,,Alexander Prins,3
Alexandra David,Alexandra David,Alexandra David,2
Alexandra Wysocka,,,2
Alexandra Wysosska,,,1
Alexandre Alcazar,,,1
Alexandre Antoine Joseph Radelet,,,1
Alexandre Antoine Radelet,,,1
Alexandre Bertrand,,Alexandre Bertrand,1
Alexandre Canther,,,1
Alexandre D,,,1
Alexandre Dapsens,,,1
Alexandre Delvigne,,,1
Alexandre Dubois,,Alexandre Dubois,2
Alexandre Duc Ii Nicolas,,,1
Alexandre Dumas,Alexandre Dumas,Alexandre Dumas,1
Alexandre Dumas Henri Conscience,,,1
Alexandre Frydman,,,1
Alexandre Ghislan,Alexandre Ghislan,,1
Alexandre Gordin,Alexandre Gordin,,2
Alexandre Haumann,,,1
Alexandre Kets,,,1
Alexandre Legrand,,,1
Alexandre Levy,,Alexandre Levy,3
