Column 1,Mot
aires,
anonyme,
atlas,
baron,
basse,
bebe,
belga,
belge,
belgi,
belgica,
bergen,
bosse,
bourgmestre,
brand,
cardinal,
charite,
chou,
chretienne,
coca,
cordonnier,
costa,
couronne,
couronnee,
danse,
door,
duc,
dumont,
echo,
elan,
femina,
fleuri,
fontaine,
genie,
hong,
horta,
joyeuse,
kong,
lang,
lion,
lyon,
maas,
major,
maris,
mars,
moto,
ocean,
oceann,
ouvrier,
pape,
piret,
princes,
princess,
princesse,
reine,
saens,
sinay,
vaillant,
weerdt,
york,
