QID,link,label,countCountries,countPersons
Q1043303,https://www.wikidata.org/wiki/Q1043303,Zora,15,39
Q1043407,https://www.wikidata.org/wiki/Q1043407,Ireneus,11,50
Q1043415,https://www.wikidata.org/wiki/Q1043415,Clementine,9,21
Q1043457,https://www.wikidata.org/wiki/Q1043457,Rosalie,14,45
Q1043555,https://www.wikidata.org/wiki/Q1043555,Carmelo,13,138
Q1043619,https://www.wikidata.org/wiki/Q1043619,Carmen,47,510
Q1043849,https://www.wikidata.org/wiki/Q1043849,Kleopatra,1,1
Q1043866,https://www.wikidata.org/wiki/Q1043866,Cassandra,12,38
Q10439695,https://www.wikidata.org/wiki/Q10439695,Calixtus,3,3
Q10443008,https://www.wikidata.org/wiki/Q10443008,Karita,2,2
Q1044619,https://www.wikidata.org/wiki/Q1044619,Carolus,4,9
Q10448836,https://www.wikidata.org/wiki/Q10448836,Cherine,2,2
Q1045829,https://www.wikidata.org/wiki/Q1045829,Carter,3,46
Q10465842,https://www.wikidata.org/wiki/Q10465842,Dafne,2,2
Q10471460,https://www.wikidata.org/wiki/Q10471460,Dickinson,1,1
Q10478964,https://www.wikidata.org/wiki/Q10478964,Ebbe,5,21
Q10479919,https://www.wikidata.org/wiki/Q10479919,Edla,2,3
Q10480418,https://www.wikidata.org/wiki/Q10480418,Eila,2,10
Q10480465,https://www.wikidata.org/wiki/Q10480465,Eje,3,5
Q10481123,https://www.wikidata.org/wiki/Q10481123,Eldin,1,6
Q10481788,https://www.wikidata.org/wiki/Q10481788,Ellika,1,1
Q10481930,https://www.wikidata.org/wiki/Q10481930,Elnaz,1,2
Q10482295,https://www.wikidata.org/wiki/Q10482295,Emmie,1,1
Q10483177,https://www.wikidata.org/wiki/Q10483177,Emund,1,1
Q10487067,https://www.wikidata.org/wiki/Q10487067,Eray,2,8
Q10488285,https://www.wikidata.org/wiki/Q10488285,Erla,1,2
Q10493522,https://www.wikidata.org/wiki/Q10493522,Fadime,1,2
Q10493986,https://www.wikidata.org/wiki/Q10493986,Fannar,1,1
Q10494326,https://www.wikidata.org/wiki/Q10494326,Fatemeh,1,9
Q10495002,https://www.wikidata.org/wiki/Q10495002,Figen,1,2
Q10495948,https://www.wikidata.org/wiki/Q10495948,Fjalar,1,1
Q10498208,https://www.wikidata.org/wiki/Q10498208,Fortesa,2,2
Q10498836,https://www.wikidata.org/wiki/Q10498836,Frej,2,5
Q10498995,https://www.wikidata.org/wiki/Q10498995,Frideborg,2,2
Q10499033,https://www.wikidata.org/wiki/Q10499033,Fridolf,3,4
Q1050527,https://www.wikidata.org/wiki/Q1050527,Cate,1,1
Q1050684,https://www.wikidata.org/wiki/Q1050684,Caterina,10,91
Q1050754,https://www.wikidata.org/wiki/Q1050754,Cathal,3,27
Q10507557,https://www.wikidata.org/wiki/Q10507557,Goodluck,1,1
Q10510277,https://www.wikidata.org/wiki/Q10510277,Gudmar,1,2
Q10510633,https://www.wikidata.org/wiki/Q10510633,Gullan,1,1
Q10510889,https://www.wikidata.org/wiki/Q10510889,Gunnel,1,12
Q10510903,https://www.wikidata.org/wiki/Q10510903,Gunno,1,1
