,persons_names,isName
187,Auguste Maupuis,Possible nom
188,Auguste Maupuy,Possible nom
189,Naturelle Facultes,Possible nom
190,Willis Conover,Possible nom
191,Kamer Planten,Possible nom
192,Bosch Kops,Possible nom
193,Felix Reze,Possible nom
194,Cornelis Van Haaren,Possible nom
195,Evrard Havenith,Possible nom
196,Leopold Van Strydonck,Possible nom
197,Robert Van Strydonck,Possible nom
198,Ernest Gambart,Possible nom
199,Eugene Gambart,Possible nom
200,Martin San,Possible nom
201,Nestor Wilmart,Possible nom
202,Henri Van Haren,Possible nom
203,Carl Aldenhoven,Possible nom
204,Arthur Rimbaud,Possible nom
205,Jules Des,Possible nom
206,Armand Drossard,Possible nom
207,Armand Drossart,Possible nom
208,Betsy Hubert,Possible nom
209,Elisabeth Beaujean,Possible nom
210,Joseph Marville,Possible nom
211,Julienne Drossard,Possible nom
212,Julienne Drossart,Possible nom
213,Leon Jacob,Possible nom
214,Marcel Drossard,Possible nom
215,Maximilien Drossard,Possible nom
216,Urbain Drossard,Possible nom
217,Urbain Drossart,Possible nom
218,Sino Banque,Improbable
219,Georges Marquet,Possible nom
220,Jules Sabbe,Possible nom
221,Sabbe Major,Possible nom
222,Sabe Major,Possible nom
223,Alfons Beurden,Possible nom
224,Alfons Van Beurden,Possible nom
225,Boon Lauwers,Possible nom
226,Abraham Wyngaard,Possible nom
227,Guillaume Archiduc,Improbable
228,Elemer Lonyay,Possible nom
229,Guillaume De Habsbourg,Possible nom
230,Leon X,Possible nom
231,Leon Xiii,Possible nom
232,Wilhelm Kochs,Possible nom
233,Leon Hirsch,Possible nom
234,Jacques Van Reysschoot,Possible nom
235,Pierre Van Reysschoot,Possible nom
236,Leon Van Lare,Possible nom
237,August Gysels,Possible nom
238,Joseph Coomans,Possible nom
239,Albert Dassy,Possible nom
240,Bertha Romain,Possible nom
241,Charlier Gourdien,Possible nom
242,Charlier Ravestein,Possible nom
243,Danielle Didier,Possible nom
244,Eugene Dassy,Possible nom
245,Jeanne Romain Albert Dassy,Possible nom
246,Jules Romain,Possible nom
247,Marcellin Ravestein,Possible nom
248,Micheline Dassy,Possible nom
249,Romain Charlier Ottignies,Possible nom
250,Omer Van Bost,Possible nom
251,Charles Michiels,Possible nom
252,Edouard Block,Possible nom
253,Henri Kennis,Possible nom
254,Hubert Block,Possible nom
255,Louis Kennis,Possible nom
256,Pierre Luppens,Possible nom
257,Renilde Devenyns,Possible nom
258,Oscar Dubois,Possible nom
259,Gustaaf Heirman,Possible nom
260,Gustave Heirman,Possible nom
261,Henri Plessis,Possible nom
262,Plessis Comique,Improbable
263,Camille Pirson,Possible nom
264,Charles Dubois,Possible nom
265,Gaston Van Volxem,Possible nom
266,Claes Jonnet,Possible nom
267,Felix Sohie,Possible nom
268,Abraham Levy,Possible nom
269,Abraham Sundel,Possible nom
270,Albert Paternotre,Possible nom
271,Auguste Vincent,Possible nom
272,Edouard De Callatay,Possible nom
273,Blanche La Rose,Possible nom
274,Blanche Rose,Possible nom
275,Clement Ader,Possible nom
276,Joseph Allard,Possible nom
277,Joseph Bivort,Possible nom
278,Marie Adam,Possible nom
279,Cornil Station,Possible nom
280,Simone Jollivet,Possible nom
281,Vital Decoster,Possible nom
282,Remi Pauwels,Possible nom
283,Jean Francois Mathieu,Possible nom
284,Mathieu Machiniste,Improbable
285,Lola Gomez,Possible nom
286,Colard Funerailles,Possible nom
287,Auguste Fierens,Possible nom
288,Henri Block,Possible nom
289,Elisa Vleeschouwer,Possible nom
290,Jaak Pooter,Possible nom
291,Theodore Engels,Possible nom
292,Arthur Stoquaert,Possible nom
293,Emiel Lossy,Possible nom
294,Marcel Waterloos,Possible nom
295,Raman Roger,Possible nom
