ID,nom_officiel,noms,Column 1 5,Column 1 6,Column 1 7,Column 1 8,Column 1 9,Column 1 10,Column 1 11,Column 1 12,Column 1 13,Column 1 14,Column 1 15,Column 1 16,Column 1 17,Column 1 18,Column 1 19
2797432,Goumenpont,Goumenpont,50.68874,3.75724,P,PPL,BE,,WAL,WHT,51,51004,0,,37,Europe/Brussels,2017-03-25
2797433,Gominroux,Gominroux,50.43333,4.5,H,STM,BE,,WAL,WHT,,,0,,117,Europe/Brussels,2010-03-06
2797434,Gomezee,"Gomezée,Gomezee",50.23333,4.48333,P,PPL,BE,,WAL,WNA,93,93088,0,,242,Europe/Brussels,2017-03-25
2797435,Gomery,"Comery,Gomery",49.56297,5.59354,P,PPL,BE,,WAL,WLX,85,85045,0,,235,Europe/Brussels,2017-03-25
2797436,Golzinne,Golzinne,50.51888,4.71588,P,PPL,BE,,WAL,WNA,92,92142,0,,147,Europe/Brussels,2017-03-25
2797437,Golmeerzouwbeek,"Golmeerzouwbeek,Golmeer Beek,Meersbeek",50.81667,5.3,H,STM,BE,,VLG,VLI,,,0,,64,Europe/Brussels,2012-01-18
2797438,Bois de Gola,Bois de Gola,50.38714,5.20688,V,FRST,BE,,WAL,WNA,,,0,,314,Europe/Brussels,2010-03-06
2797439,Gohissart,Gohissart,50.43418,4.41447,P,PPL,BE,,WAL,WHT,52,52011,0,,166,Europe/Brussels,2017-03-25
2797440,Gognie,"Gognie,Gognies",50.4,4.23333,P,PPL,BE,,WAL,WHT,56,56011,0,,186,Europe/Brussels,2017-03-25
2797441,Gogard,"Gogard,Gogart",50.62868,3.60697,P,PPL,BE,,WAL,WHT,57,57094,0,,77,Europe/Brussels,2017-03-25
2797442,Gogan,Gogan,50.71667,3.7,H,STM,BE,,WAL,WHT,,,0,,52,Europe/Brussels,2010-03-06
2797443,Gofontaine,Gofontaine,49.95,5.4,P,PPL,BE,,WAL,WLX,84,84077,0,,550,Europe/Brussels,2017-03-25
2797444,Goffontaine,Goffontaine,50.5687,5.7703,P,PPL,BE,,WAL,WLG,63,63058,0,,172,Europe/Brussels,2017-03-25
2797445,Bois Goffaux,Bois Goffaux,50.61591,4.52528,V,FRST,BE,,WAL,,,,0,,119,Europe/Brussels,2011-02-07
2797446,Goeze,Goeze,50.88333,3.91667,P,PPL,BE,,VLG,VOV,41,41027,0,,41,Europe/Brussels,2016-08-02
2797447,Goetsenhoven,"Gossoncourt,Goetsenhoven,Tienen (Goetsenhoven)",50.76882,4.95157,P,PPL,BE,BE,VLG,VBR,24,24107,0,,81,Europe/Brussels,2011-02-21
2797449,Ruisseau de Goesnes,Ruisseau de Goesnes,50.469,5.26621,H,STM,BE,,WAL,,,,0,,162,Europe/Brussels,2009-07-24
2797450,Goesnes,"Ohey (Goesnes),Goesnes",50.44034,5.22074,P,PPL,BE,,WAL,WNA,92,92097,0,,252,Europe/Brussels,2011-04-05
2797452,Goeslaar,"Goeslaar,Goeslaer",50.98413,5.14735,P,PPL,BE,,VLG,VLI,71,71037,0,,25,Europe/Brussels,2016-08-02
2797453,Goeren,Goeren,50.97466,5.14754,P,PPL,BE,,VLG,VLI,71,71037,0,,24,Europe/Brussels,2016-08-02
2797454,Goegnies-Chaussee,"Goegnies-Chaussée,Gognies-Chaussée,Gognies-Chaussee,Goegnies-Chaussee",50.34119,3.94169,P,PPL,BE,BE,WAL,WHT,53,53084,0,,139,Europe/Brussels,2009-01-17
2797455,Goeferdinge,"Goeferdinge,Goefferdinge",50.76605,3.83978,P,PPL,BE,,VLG,VOV,41,41018,0,,33,Europe/Brussels,2012-01-18
2797457,Goedinge,Goedinge,51.03333,3.65,P,PPL,BE,,VLG,VOV,44,44021,0,,7,Europe/Brussels,2016-08-02
2797458,Goedhuishoeve,"Goedhuishoeve,Goedhuishoef",50.92401,4.89841,S,FRM,BE,,VLG,VBR,24,24135,0,,78,Europe/Brussels,2016-08-02
2797459,Goedeinde,Goedeinde,51.08032,4.0266,P,PPL,BE,,VLG,VOV,42,42028,0,,4,Europe/Brussels,2016-08-02
2797460,Goe,"Goé,Goe,Gulke",50.60657,5.95614,P,PPL,BE,,WAL,WLG,63,63046,0,,226,Europe/Brussels,2012-02-02
2797462,Godveerdegem,"Godveerdegem,Godverdegem",50.85932,3.82092,P,PPL,BE,,VLG,VOV,41,41081,0,,82,Europe/Brussels,2012-01-18
2797464,Godshuis,Godshuis,50.76667,3,P,PPL,BE,,VLG,VWV,,,0,,12,Europe/Brussels,2010-03-06
2797465,Godsheide,"Godsheide,Godscheid",50.93559,5.38291,P,PPL,BE,,VLG,VLI,71,71022,0,,34,Europe/Brussels,2016-08-02
2797466,Godschalk,Godschalk,51.18333,4.15,P,PPL,BE,,VLG,VOV,46,46021,0,,16,Europe/Brussels,2016-08-02
2797467,Bois Godrisse,"Bois Godrisse,Bois Godrise",49.82064,4.95704,V,FRST,BE,,WAL,WNA,,,0,,358,Europe/Brussels,2012-01-18
2797468,Godinval,Godinval,49.92171,5.64186,P,PPL,BE,,WAL,WLX,82,82036,0,,425,Europe/Brussels,2017-03-25
2797469,Bois de Godinne,Bois de Godinne,50.34848,4.89082,V,FRST,BE,,WAL,WNA,,,0,,274,Europe/Brussels,2010-03-06
2797470,Godinne,"Yvoir (Godinne),Godinne",50.34809,4.87364,P,PPL,BE,,WAL,WNA,91,91141,0,,103,Europe/Brussels,2011-05-04
2797472,Godene,"Codene,Godene,Codène,Godène",50.5,4.25,P,PPL,BE,,WAL,WHT,52,52043,0,,124,Europe/Brussels,2017-03-25
2797473,Godarville,Godarville,50.49496,4.28698,P,PPL,BE,,WAL,WHT,52,52010,0,,135,Europe/Brussels,2012-01-18
2797475,Godaroquet,Godaroquet,50.28333,5.61667,P,PPL,BE,,WAL,WLX,83,83055,0,,495,Europe/Brussels,2017-03-25
2797477,Gochenee,"Gochenée,Gochenee",50.55806,5.0138,P,PPL,BE,,WAL,WNA,92,92138,0,,180,Europe/Brussels,2017-03-25
2797478,Gochenee,"Doische (Gochenée),Doische (Gochenee),Gochenée,Gochenee",50.18426,4.75631,P,PPL,BE,,WAL,WNA,93,93018,0,,216,Europe/Brussels,2011-07-21
2797480,Gochelaar,"Gochelaere,Gochelaar",51.23333,3.58333,P,PPL,BE,,VLG,VOV,43,43014,0,,-1,Europe/Brussels,2016-08-02
2797481,Goberwelz,Goberwelz,50.6549,3.77183,P,PPL,BE,,WAL,WHT,51,51004,0,,36,Europe/Brussels,2017-03-25
2797482,Gobertange,Gobertange,50.74308,4.84314,P,PPL,BE,,WAL,WBR,25,25048,0,,89,Europe/Brussels,2017-03-25
2797483,Gobbelsrode,Gobbelsrode,50.91395,4.80703,P,PPL,BE,,VLG,VBR,24,24043,0,,38,Europe/Brussels,2016-08-02
2797484,Gobard,"Gobard,Gobart",50.66667,4.13333,P,PPL,BE,,WAL,WBR,25,25123,0,,63,Europe/Brussels,2017-03-25
2797485,Glons,"Bassenge (Glons),Glons,Glaen,Glaaien",50.75307,5.54578,P,PPL,BE,,WAL,WLG,62,62011,0,,81,Europe/Brussels,2011-03-21
2797487,Glomont,Glomont,50.06667,5.2,P,PPL,BE,,WAL,WLX,84,84068,0,,397,Europe/Brussels,2017-03-25
2797488,Glimes,Glimes,50.68003,4.83708,P,PPL,BE,,WAL,WBR,25,25043,0,,122,Europe/Brussels,2012-01-18
2797490,Gleixhe,"Flemalle (Gleixhe),Flémalle (Gleixhe),Gleixhe",50.61391,5.39008,P,PPL,BE,,WAL,WLG,62,62120,0,,122,Europe/Brussels,2011-03-15
2797492,Glaumont,Glaumont,49.87269,5.21041,P,PPL,BE,,WAL,WLX,84,84009,0,,414,Europe/Brussels,2017-03-25
2797493,Glatigny,Glatigny,50.64641,4.79404,P,PPL,BE,,WAL,WBR,25,25084,0,,132,Europe/Brussels,2017-03-25
2797494,Glaireuse,Glaireuse,49.95857,5.24653,P,PPL,BE,,WAL,WLX,84,84035,0,,393,Europe/Brussels,2017-03-25
2797495,Le Glain,Le Glain,50.71667,4.51667,P,PPLX,BE,,WAL,WBR,25,25091,0,,93,Europe/Brussels,2017-03-25
2797496,Glain,"Liege (Glain),Liège (Glain),Glain",50.64772,5.5438,P,PPL,BE,,WAL,WLG,62,62063,0,,148,Europe/Brussels,2011-03-14
2797498,Glacenee,"Glacenée,Glacené,Glacenee,Glacene",50.72227,3.86367,P,PPL,BE,,WAL,WHT,55,55023,0,,32,Europe/Brussels,2017-03-25
2797499,Ferme Glabjoux,"Ferme Glabjoux,Glabjou Ferme",50.63392,4.47675,S,FRM,BE,,WAL,WBR,25,25031,0,,107,Europe/Brussels,2017-03-25
2797500,Glabbeek-Zuurbemde,"Glabbeek-Suerbempde,Glabbeek-Zuurbemde,Glabbeek",50.87348,4.94442,P,PPL,BE,,VLG,VBR,24,24137,5070,,50,Europe/Brussels,2012-01-18
2797501,Glabbeek,Glabbeek,50.87358,4.94213,A,ADM4,BE,,VLG,VBR,24,24137,5288,,47,Europe/Brussels,2017-04-14
2797502,Glabbeek,Glabbeek,50.87766,5.09439,P,PPL,BE,,VLG,VBR,24,24028,0,,33,Europe/Brussels,2016-08-02
2797503,Bois de Glabais,Bois de Glabais,50.70684,4.71459,V,FRST,BE,,WAL,WBR,,,0,,114,Europe/Brussels,2011-01-27
2797504,Glabais,"Genappe (Glabais),Glabais",50.63074,4.45333,P,PPL,BE,,WAL,WBR,25,25031,0,,139,Europe/Brussels,2011-02-01
2797506,Givry,Givry,50.37826,4.02932,P,PPL,BE,,WAL,WHT,53,53084,0,,59,Europe/Brussels,2009-01-17
2797507,Givry,Givry,50.05458,5.64345,P,PPL,BE,,WAL,WLX,82,82005,0,,411,Europe/Brussels,2017-03-25
2797508,Givroulle,Givroulle,50.1,5.63333,H,STM,BE,,WAL,WLX,,,0,,356,Europe/Brussels,2010-03-06
2797509,Givroulle,Givroulle,50.05929,5.61363,P,PPL,BE,,WAL,WLX,82,82005,0,,386,Europe/Brussels,2017-03-25
2797510,Gives,Gives,50.50774,5.15269,P,PPL,BE,,WAL,WLG,61,61031,0,,74,Europe/Brussels,2017-03-25
