visitID,Column,unique_id,query_normalised,query_tokens
2676825,65674,65674-2676825,overyssch,1
2676986,65675,65675-2676986,garde civique de saint-gilles,4
2677026,65676,65676-2677026,cina,1
2677026,65677,65677-2677026,sina japan,2
2677026,65678,65678-2677026,sjina,1
2677026,65679,65679-2677026,sjina japan,2
2677119,65680,65680-2677119,barrow,1
2677293,65682,65682-2677293,cumont,1
2677293,65684,65684-2677293,musée collection,2
2677293,65685,65685-2677293,musée warocqué,2
2677293,65681,65681-2677293,cinquantenaire,1
2677293,65683,65683-2677293,musée,1
2677339,65686,65686-2677339,l,1
2677360,65687,65687-2677360,mathieu cuypers herstal,3
2677432,65688,65688-2677432,garde civique de saint-gilles,4
2677448,65689,65689-2677448,comtesse d’yve de bavay,4
2677448,65690,65690-2677448,mathilde d,2
2677506,65692,65692-2677506,ecole primaire superieure,3
2677506,65691,65691-2677506,ecole normale d,3
2677698,65694,65694-2677698,jeanne de bruxelles,3
2677698,65693,65693-2677698,comtesse d’yve de bavay,4
2677736,65695,65695-2677736,auto-garage,1
2677819,65696,65696-2677819,apocalyps,1
2677819,65697,65697-2677819,apocalypse,1
2677819,65698,65698-2677819,demest,1
2677827,65699,65699-2677827,eryssch,1
2677827,65702,65702-2677827,hoeybert,1
2677827,65703,65703-2677827,hoeyl,1
2677827,65704,65704-2677827,hoeylae,1
2677827,65707,65707-2677827,hoeylaet,1
2677827,65709,65709-2677827,hovylaert,1
2677827,65710,65710-2677827,in isque,2
2677827,65712,65712-2677827,isque (ov,2
2677827,65713,65713-2677827,issue (ov,2
2677827,65714,65714-2677827,lisque,1
2677827,65716,65716-2677827,notre dame du bois,4
2677827,65719,65719-2677827,ovelyssche,1
2677827,65724,65724-2677827,uit isque,2
2677827,65729,65729-2677827,vrouw-ten-bossch,1
2677827,65730,65730-2677827,vrouw-ten-bossche,1
2677827,65700,65700-2677827,eryssche,1
2677827,65701,65701-2677827,eylaert,1
2677827,65705,65705-2677827,hoeylaer,1
2677827,65706,65706-2677827,hoeylaertt,1
2677827,65708,65708-2677827,hoeyllaert,1
2677827,65711,65711-2677827,isque,1
2677827,65715,65715-2677827,notre dame au bois,4
2677827,65717,65717-2677827,oeylaert,1
2677827,65718,65718-2677827,oveiyssche,1
2677827,65720,65720-2677827,ovenyssche,1
2677827,65721,65721-2677827,overys,1
2677827,65722,65722-2677827,oveyssche,1
2677827,65723,65723-2677827,te isque,2
2677827,65725,65725-2677827,van isque,2
2677827,65726,65726-2677827,veryssche,1
2677827,65727,65727-2677827,vrouw-ten bosch,2
2677827,65728,65728-2677827,vrouw-ten-bosch,1
2677827,65731,65731-2677827,ylaert,1
2677950,65732,65732-2677950,wappers niobe,2
2677952,65733,65733-2677952,ooms justice,2
2677952,65734,65734-2677952,ooms justice anvers,3
2677952,65735,65735-2677952,ouderaa devriendt,2
2677952,65736,65736-2677952,ouderaa ooms,2
2677953,65737,65737-2677953,ouderaa ooms,2
2677954,65738,65738-2677954,garde civique de saint-gilles,4
2678048,65739,65739-2678048,musique,1
2678089,65740,65740-2678089,cuypers molenbeek,2
2678089,65741,65741-2678089,mathieu cuypers herstal,3
2678347,65742,65742-2678347,charles emanuel looz-corswarem,3
2678347,65743,65743-2678347,charles looz-corswarem,2
2678347,65745,65745-2678347,looz-corswarem,1
2678347,65744,65744-2678347,corswarem,1
2678353,65746,65746-2678353,demest,1
2678353,65747,65747-2678353,les,1
2678400,65748,65748-2678400,hoeylaerten,1
2678400,65749,65749-2678400,overysscheen,1
2678415,65750,65750-2678415,plomdeur,1
2678415,65751,65751-2678415,simone plomdeur,2
2678425,65753,65753-2678425,ulff congo,2
2678425,65752,65752-2678425,hultberg,1
2678425,65754,65754-2678425,"ulff, congo",2
2678456,65755,65755-2678456,sjah leopold koning,3
2678456,65756,65756-2678456,sjah leopold koning oostende,4
2678456,65757,65757-2678456,wellington hippodroom,2
2678456,65758,65758-2678456,wellington hippodroom leopold,3
2678456,65759,65759-2678456,wellington hippodroom leopold koning,4
2678456,65760,65760-2678456,wellington oostende renbaan,3
2678476,65761,65761-2678476,korhoen,1
2678480,65762,65762-2678480,garde civique de saint-gilles,4
2678513,65763,65763-2678513,quartiers jardins,2
2678513,65764,65764-2678513,tuinwijk,1
2678544,65766,65766-2678544,ruelens brabant,2
2678544,65767,65767-2678544,theodore ruelens,2
2678544,65765,65765-2678544,heylissem,1
2678558,65768,65768-2678558,schipperke,1
2678635,65769,65769-2678635,boulenger vente,2
2678635,65770,65770-2678635,hippolyte boulenger vente,3
2678635,65771,65771-2678635,salle janssens vente boulenger,4
2678727,65772,65772-2678727,marcel pesch,2
2678765,65773,65773-2678765,cador,1
2678770,65774,65774-2678770,brucom,1
2678770,65775,65775-2678770,kapel mekingen,2
2678770,65776,65776-2678770,mekingen,1
2678770,65777,65777-2678770,mekinghen,1
2678962,65778,65778-2678962,boulenger vente,2
2678962,65779,65779-2678962,vente boulenger,2
2679008,65782,65782-2679008,isques,1
