ID,nom_officiel,noms,Column 1 5,Column 1 6,Column 1 7,Column 1 8,Column 1 9,Column 1 10,Column 1 11,Column 1 12,Column 1 13,Column 1 14,Column 1 15,Column 1 16,Column 1 17,Column 1 18,Column 1 19
2788065,Rijdstraat,"Rijdstraat,Rydstraat",50.87172,3.6373,P,PPL,BE,,VLG,VOV,45,45035,0,,9,Europe/Brussels,2016-08-02
2788067,Rijbroek,"Rijbroek,Reybroeck,Reibroek",51.06667,3.5,P,PPL,BE,,VLG,VOV,44,44001,0,,17,Europe/Brussels,2016-08-02
2788068,Rigenee,"Rigene,Rigenée,Rigenee",50.56713,4.52542,P,PPL,BE,,WAL,WBR,25,25107,0,,143,Europe/Brussels,2017-03-25
2788069,Rigel,Rigel,50.91689,5.06983,P,PPL,BE,,VLG,VBR,24,24054,0,,28,Europe/Brussels,2016-08-02
2788070,Rigaudrye,Rigaudrye,50.74526,3.68753,P,PPL,BE,,WAL,WHT,51,51017,0,,84,Europe/Brussels,2017-03-25
2788072,Riezes,"Chimay (Riezes),Chimay (Rièzes),Riezes,Rièzes",49.95948,4.36874,P,PPL,BE,,WAL,WHT,56,56016,0,,340,Europe/Brussels,2011-08-09
2788074,Rieudotte,Rieudotte,50.50089,5.13049,P,PPL,BE,,WAL,WNA,92,92003,0,,78,Europe/Brussels,2017-03-25
2788078,Riethof,Riethof,51.21667,3.96667,P,PPL,BE,,VLG,VOV,44,44045,0,,0,Europe/Brussels,2016-08-02
2788082,Riet,Riet,51.21667,5.46667,P,PPL,BE,,VLG,VLI,72,72025,0,,39,Europe/Brussels,2016-08-02
2788083,Riet,Riet,51.18264,5.52679,P,PPL,BE,,VLG,VLI,72,72003,0,,42,Europe/Brussels,2016-08-02
2788084,Riessonsart,"Riesonsart,Riessonsart",50.60403,5.71003,P,PPL,BE,,WAL,WLG,63,63057,0,,216,Europe/Brussels,2017-03-25
2788086,Rienne,Rienne,49.99277,4.8847,P,PPL,BE,,WAL,WNA,91,91054,0,,373,Europe/Brussels,2012-02-02
2788088,Riemst,"Riempst,Riemst",50.80995,5.60131,P,PPL,BE,,VLG,VLI,73,73066,15809,,105,Europe/Brussels,2011-03-02
2788090,Rieme,Rieme,51.1758,3.78728,P,PPL,BE,,VLG,VOV,44,44019,0,,9,Europe/Brussels,2016-08-02
2788091,Riek,"Rick,Riek",51.05193,3.19668,P,PPL,BE,,VLG,VWV,37,37018,0,,22,Europe/Brussels,2016-08-02
2788096,Riconvert,"Rigonvert,Riconvert",50.25379,4.29351,P,PPL,BE,,WAL,WNA,93,93088,0,,192,Europe/Brussels,2017-03-25
2788098,Richtenberg,Richtenberg,50.17745,6.11095,P,PPL,BE,,WAL,WLG,63,63087,0,,426,Europe/Brussels,2017-03-25
2788099,Richemont,Richemont,50.5609,5.31779,P,PPL,BE,,WAL,WLG,61,61003,0,,186,Europe/Brussels,2017-03-25
2788101,Richelle,"Vise (Richelle),Visé (Richelle),Richelle",50.71396,5.69564,P,PPL,BE,,WAL,WLG,62,62108,0,,128,Europe/Brussels,2011-03-21
2788103,Richelette,Richelette,50.6878,5.73991,P,PPL,BE,,WAL,WLG,62,62119,0,,176,Europe/Brussels,2017-03-25
2788105,Ribeke,Ribeke,50.8,3.75,P,PPL,BE,,VLG,VOV,45,45059,0,,39,Europe/Brussels,2016-08-02
2788106,Rianwelz,Rianwelz,50.45,4.35,P,PPL,BE,,WAL,WHT,52,52015,0,,165,Europe/Brussels,2017-03-25
2788109,Rhone,"Rhone,Rhône",50.63333,3.66667,P,PPL,BE,,WAL,WHT,57,57094,0,,57,Europe/Brussels,2017-03-25
2788111,Rhisnes,"Rhisnes,La Bruyere (Rhisnes),La Bruyère (Rhisnes)",50.50682,4.80592,P,PPL,BE,,WAL,WNA,92,92141,0,,146,Europe/Brussels,2011-03-25
2788113,Rhion,Rhion,50.55252,4.891,P,PPL,BE,,WAL,WNA,92,92035,0,,171,Europe/Brussels,2017-03-25
2788114,Rhees,"Rhees,Rhées",50.67953,5.62464,P,PPL,BE,,WAL,WLG,62,62051,0,,116,Europe/Brussels,2017-03-25
2788117,Revogne,Revogne,50.09395,5.04568,P,PPL,BE,,WAL,WNA,91,91013,0,,200,Europe/Brussels,2017-03-25
2788120,Revioux,Revioux,50.53747,4.40308,P,PPL,BE,,WAL,WHT,52,52075,0,,136,Europe/Brussels,2017-03-25
2788121,Reves,"Rèves,Les Bons Villers (Reves),Reves,Les Bons Villers (Rèves)",50.53809,4.41075,P,PPL,BE,,WAL,WHT,52,52075,0,,143,Europe/Brussels,2011-07-25
2788123,Reux,Reux,50.24274,5.09117,P,PPL,BE,,WAL,WNA,91,91030,0,,304,Europe/Brussels,2017-03-25
2788124,Reutenbeek,Reutenbeek,50.75937,4.53135,P,PPL,BE,,VLG,VBR,23,23062,0,,97,Europe/Brussels,2016-08-02
2788126,Reutel,"Reutelhoek,Reutel",50.84985,3.0039,P,PPL,BE,BE,VLG,VWV,33,33037,0,,49,Europe/Brussels,2016-08-02
2788129,Reumont,Reumont,50.32487,4.32503,P,PPL,BE,,WAL,WHT,56,56078,0,,158,Europe/Brussels,2017-03-25
