Aa
De, River
Eij
Andregnie
Aaltebei
Andrimont
Aart
Angebberg
Abcele
Angre
AWe
Angreau
Abeele
Anhée
Abolens
Anlier
Abweiler
Anlier, Forêt d’
Ache!
Anloy
Achene
Annevoie
Achet
Ans
Achouffe
Ansart
Achtel
Anseghem
Achterbosch
Anseremme
Achterbroek
Anseroeul
Achterhoek
Anthée
Acoz
Antheit
Acoz, River d’
Anthisnes
Acremont
ANTOING
Acren, Bois de
ANTWERP
Acren, Les Deux
Antwerp-Tumhout Ca
Adegem
Anvaing
Adinkerke
Appelboom
Aehterle
Appels
Aelbeke
Arbre
Aelst
Arbrefontaine
Aeltrebrugge
Are Ainieres
Acrle
Archennes
Aerseele
Ardove
Aertrycke
Arendonck
Aertselaer
Argent, L’, River
Afsne
Arimont
Agimont
Arisdonck
Aheree
ARLON
Aisne
Arquennes
Aisne, River
Arsdorf
Aische-en-Refail
Arsimont
Aiseau
Artville
Aisemont
ASCH
Aisomont
Aspelaere
Aix-sur-Cloix
Aspelt
Akkerstraat
As per
Albach
Assebrouck
Alken
Assehe
Alle
Asselbom
ALLEUR
Assenede
ALOST
Assenois
Alscheid
Assenob (Bastogne)
Altlinst
Assenois (Paliseul)
Alttrier
Assent
Altwies
Assesse
Altzingen
Astene
Alveringhem
ATlH
Alzette
Athb
Alzette, River
Athus
Amas
Attenhoven
AMAY
Altenrode
Amberloup
Attert
Ambesin
Attre
Ambieve
Aubangc
Ambleve, River
Aubechies
Ambly Amene
Aubel Aublain
Amersvelde
Audegeni
Amonines
Audenaeken
Amougies
Audenhove
Ampsin ANDENARDE
Audenhovc St Marie
a/Jos
Audergem
Andenelle
Audrange
ANDENNE
Audsen, Redbt d’
Anderlecht
Aufle
Anderlues
Aulnois
Andoy
Auly
Autelbas
Autgaerden
Autre-Eglise
Autreppe (Ath)
Autreppe (Valenciennes)
Autryve
Auvelais
Auwegem
Aux Houx
Avecappelle
Ave et Auffe
Aveneux
Avenues
Averbode
Averpas le Bauduin
Avin
Avins, Les Awagne
Awan
Awans (Liège)
Awenne
Axhé, Grand
Axhé, Petit
Aye
Ayelghem
Aygem
Aywaille
Azy
Baan, de
Baarle
Baarleyelde
Bac du Prince
Bachte Maria Leerne
Baconfoy
Badon
Bael
Baelegem
Baelen
Baelon
Baerdegem
Baesrode
Baevegem
Baeygem
Bagimont
Baileux
Baillamont
Bailleul
Baillonvillc
Babieux
Baisy Thy
Balâtre
Balgerhoek
Bambois
Bande
Banneux
Baraque
Baraque, La
Barbencon
Barbierlieek, Rivi-r
Barchon
Baronville
Barrière, La
a/Oio
Barrière (Soignies)
Barry
j/Joj
Barsy
Barvaux
Barvaux Gondro/
Basbellain
Baicharagc
Bascles
GAZETTEER OF BELGIUM AND LUXEMBOURG
Basel
Berismenil
Boeslinter
Baskeers
Berlaer
Bocvange
Bas Oha
Berlaere
Boevange or Bögen
Bassange
Berle
Bogaerden
Basse-Bodeux
Bedingen
Bohan
Bassevelde
Berloz
Bohissaux
Basse Vire, River
Berneau
Boignee
Bassilly
Bernimont
Boirs Houtain-St Simeon
Bastendorf
Bernister
Bois de Chimay
BASTOGNE
Berthem
Bois de Hai
Bas Wameton
Bertogne
Bois de L'Euclas
Battel
Bertrange
Bois de Sevry
Battice
Bertrée
Bois de Sr Remade
Battincourt
Bertrix
Bois de Strihoux
Bauche
Berzee
Bois de Transinne
Baudecet
Besonrieux
Bois de Villers
Baudermont
Bethomont
Bois d’Haine
Baudour
Bettange
Bois D’Heverlé
Bauffe
Bettbom
Bois du Seigneur
Baugnies
Bette
Bois et Borsu
Baulers
Bettemburg
Boisschot
Bautersem
Bettendorf
Bois-Seigneur-Isaac
Bavichove
Bettincourt
Boitshoucke
Bavigne
Betzdorf
Bolderberg •
Beaufort
Beutille
Bolinne
