ID,name,toponymName,adminName4,adminName2,adminName1,lat,lng,type
2803445,Aalst Sint-Pieter,Sint-Pieters-Aalst,Gent,East Flanders Province,Flanders,51.03055,3.71632,Section/lieu-dit
2803442,Aaltebei,Aalterbei,Aalter,East Flanders Province,Flanders,51.1,3.5,Section/lieu-dit
2803443,Aalter,Aalter,Aalter,East Flanders Province,Flanders,51.09017,3.44693,Commune
2803442,Aalterbei,Aalterbei,Aalter,East Flanders Province,Flanders,51.1,3.5,Section/lieu-dit
2803441,Aalterburg,Aalterburg,Aalter,East Flanders Province,Flanders,51.1093,3.43378,Section/lieu-dit
2803436,Aan 't Holven,Aan 't Hoolven,Opglabbeek,Limburg Province,Flanders,51.05,5.61667,Section/lieu-dit
2803436,Aan 't Hoolven,Aan 't Hoolven,Opglabbeek,Limburg Province,Flanders,51.05,5.61667,Section/lieu-dit
2803440,Aan de Bunders,Aan de Bunders,Hasselt,Limburg Province,Flanders,50.93333,5.23333,Section/lieu-dit
2799735,Aan de Kippen,De Kippen,Peer,Limburg Province,Flanders,51.15,5.46667,Section/lieu-dit
2792017,Aan de Luyssen,Luissen,Bree,Limburg Province,Flanders,51.17989,5.63902,Section/lieu-dit
2790182,Aan den Nieuwen Vijver,Nieuwenvijver,Hasselt,Limburg Province,Flanders,50.97856,5.28844,Section/lieu-dit
2803439,Aan den Steenoven,Aan den Steenoven,Heusden-Zolder,Limburg Province,Flanders,51.05,5.3,Section/lieu-dit
2803439,Aan de Steenoven,Aan den Steenoven,Heusden-Zolder,Limburg Province,Flanders,51.05,5.3,Section/lieu-dit
2803438,Aan de Vreenen,Aan de Vrenen,Peer,Limburg Province,Flanders,51.1,5.43333,Section/lieu-dit
2803438,Aan de Vrenen,Aan de Vrenen,Peer,Limburg Province,Flanders,51.1,5.43333,Section/lieu-dit
2803437,Aan de Wolfsberg,Aan de Wolfsberg,Genk,Limburg Province,Flanders,51,5.48333,Section/lieu-dit
2803435,Aard,Aard en Hemelrijkseheide,Hoogstraten,Antwerp Province,Flanders,51.4,4.73017,Section/lieu-dit
2803434,Aardappelhoek,Aardappelhoek,Roeselare,West Flanders Province,Flanders,50.95255,3.15531,Section/lieu-dit
2803433,Aard en Hemelrijksche Heide,Aard en Hemelrijkseheide,Hoogstraten,Antwerp Province,Flanders,51.4,4.73017,Section/lieu-dit
2803433,Aard en Hemelrijkseheide,Aard en Hemelrijkseheide,Hoogstraten,Antwerp Province,Flanders,51.4,4.73017,Section/lieu-dit
2803432,Aardenweg,Aardenweg,Diest,Flemish Brabant Province,Flanders,50.95764,5.06428,Section/lieu-dit
2803073,Aarle,Arlon,Arlon,Luxembourg Province,Wallonia,49.68333,5.81667,Commune
2803073,Aarlen,Arlon,Arlon,Luxembourg Province,Wallonia,49.68333,5.81667,Commune
2793406,Aarschot,Aarschot,Aarschot,Flemish Brabant Province,Flanders,50.98715,4.83695,Commune
2803429,Aarschoti vald,Aarschot,Aarschot,Flemish Brabant Province,Flanders,50.98715,4.83695,Commune
2803427,Aarsele,Aarsele,Tielt,West Flanders Province,Flanders,50.99663,3.41954,Section/lieu-dit
2803429,Aarshot,Aarschot,Aarschot,Flemish Brabant Province,Flanders,50.98715,4.83695,Commune
2803426,Aars Houw,Aars Houw,Maaseik,Limburg Province,Flanders,51.05371,5.63988,Section/lieu-dit
2803424,Aart,Aart,Geel,Antwerp Province,Flanders,51.20319,4.98627,Section/lieu-dit
8521705,Aartrijke,Aartrijke,Zedelgem,West Flanders Province,Flanders,51.11915,3.09076,Section/lieu-dit
2803420,Aartselaar,Aartselaar,Aartselaar,Antwerp Province,Flanders,51.13412,4.38678,Commune
2803426,Aartshouw,Aars Houw,Maaseik,Limburg Province,Flanders,51.05371,5.63988,Section/lieu-dit
2803210,Abbaye d'Aulne,Ancienne Abbaye d'Aulne,Thuin,Hainaut Province,Wallonia,50.35,4.31667,Section/lieu-dit
2803410,Abbaye d'Orval,Abbaye d'Orval,Florenville,Luxembourg Province,Wallonia,49.63961,5.34979,Section/lieu-dit
2785312,Abbaye de la Trappe,Trappe,Hamont-Achel,Limburg Province,Flanders,51.3,5.48333,Section/lieu-dit
2803296,Abdeneyk,Alden Eik,Maaseik,Limburg Province,Flanders,51.10207,5.80551,Section/lieu-dit
2803405,Abee,Abée,Tinlot,Liège Province,Wallonia,50.47328,5.3555,Section/lieu-dit
2803405,Abée,Abée,Tinlot,Liège Province,Wallonia,50.47328,5.3555,Section/lieu-dit
2803404,Abeelbroekstraat,Abeelbroekstraat,Gent,East Flanders Province,Flanders,51.06667,3.78333,Section/lieu-dit
2803399,Abeele,Abele,,West Flanders Province,Flanders,50.81667,2.66667,Section/lieu-dit
2803403,Abeelhoek,Abeelhoek,Kuurne,West Flanders Province,Flanders,50.85,3.28333,Section/lieu-dit
2803399,Abele,Abele,,West Flanders Province,Flanders,50.81667,2.66667,Section/lieu-dit
2803398,Abime,Abîme,Somme-Leuze,Namur Province,Wallonia,50.26667,5.23333,Section/lieu-dit
2803398,Abîme,Abîme,Somme-Leuze,Namur Province,Wallonia,50.26667,5.23333,Section/lieu-dit
2802990,Abindje,Aubange,Aubange,Luxembourg Province,Wallonia,49.56652,5.80492,Commune
2802990,Åbindje,Aubange,Aubange,Luxembourg Province,Wallonia,49.56652,5.80492,Commune
2803396,Abolens,Abolens,Hannut,Liège Province,Wallonia,50.67258,5.14933,Section/lieu-dit
2803394,Abtsul,Abtsul,Harelbeke,West Flanders Province,Flanders,50.89483,3.26805,Section/lieu-dit
2803391,Achel,Achel,Hamont-Achel,Limburg Province,Flanders,51.253,5.47977,Section/lieu-dit
2803388,Achene,Achêne,Ciney,Namur Province,Wallonia,50.26701,5.04539,Section/lieu-dit
